,Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Churn Category,Churn Reason,Churn Score,City,CLTV,Contract,Country,Customer ID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,MonthlyCharges,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,tenure,TotalCharges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
count,4225.0,4225.0,4225.0,1121,1121,4225.0,4225,4225.0,4225,4225,4225,4225,4225.0,4225.0,4225,4225.0,3339,4225,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,1901,4225.0,4225.0,4225.0,4225.0,4225,4225.0,4225.0,4225.0,4225,4225.0,4225.0,4225.0,4225,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0
unique,,,,5,20,,1085,,3,1,4225,3,,,2,,3,1627,,,,,,,,5,,,,,3,,,,1,,,,1,,,,,,,,,,,,,
top,,,,Competitor,Competitor had better devices,,Los Angeles,,Month-to-Month,United States,4526-ZJJTM,Stayed,,,Male,,Fiber Optic,"33.141265, -116.967221",,,,,,,,Offer B,,,,,Bank Withdrawal,,,,Q3,,,,California,,,,,,,,,,,,,
freq,,,,486,188,,175,,2193,4225,1,2832,,,2124,,1829,24,,,,,,,,515,,,,,2325,,,,4225,,,,4225,,,,,,,,,,,,,
mean,46.45112426035503,20.740828402366866,22.766963313609466,,,58.28118343195266,,4409.75124260355,,,,,0.2331360946745562,0.3469822485207101,,0.7902958579881657,,,36.20727410627219,-119.76818683218936,0.4833136094674556,64.90646153846153,0.416094674556213,0.4726627218934911,1.9966863905325445,,0.35053254437869824,0.29254437869822486,0.5924260355029586,0.4833136094674556,,0.8994082840236687,22008.756686390534,0.2965680473372781,,0.45988165680473375,3.2423668639053256,0.16473372781065088,,0.3829585798816568,0.34958579881656804,0.38366863905325443,32.681893491124264,2306.078106508876,6.965680473372781,754.7191408284024,1.9538461538461538,3065.8090816568047,0.2,0.6778698224852071,93491.8927810651,0.26532544378698225
std,16.73151793799396,20.366104717838926,15.42999233417187,,,21.197930603168157,,1170.5991193360499,,,,,0.42287821143988613,0.4760663925849266,,0.407145612475358,,,2.4710899355248963,2.154077561312164,0.49978063593893896,29.92601355923218,0.49296796577164187,0.9620021026714024,3.0445692464092096,,0.4771932274951338,0.45498479305907363,0.4914413405260619,0.49978063593893896,,0.30082294037519797,20965.262169246875,0.45679845529618707,,0.49844691102742794,1.2007155705984232,0.3709839641649801,,0.48616586523604277,0.47689558346198946,0.4863362995238323,24.621040987184735,2271.4488809945333,25.250168877269783,854.909724611504,7.814373999482485,2884.817378674838,0.40004734568283146,0.46734785960305886,1863.337187430147,0.44155860353821186
min,19.0,0.0,0.0,,,5.0,,2003.0,,,,,0.0,0.0,,0.0,,,32.555828,-124.301372,0.0,18.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,11.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,18.8,0.0,0.0,0.0,21.36,0.0,0.0,90001.0,0.0
25%,32.0,4.0,9.05,,,40.0,,3493.0,,,,,0.0,0.0,,1.0,,,33.994524,-121.78809,0.0,38.55,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2346.0,0.0,,0.0,3.0,0.0,,0.0,0.0,0.0,9.0,401.5,0.0,67.68,0.0,592.75,0.0,0.0,92102.0,0.0
50%,46.0,17.0,22.57,,,61.0,,4531.0,,,,,0.0,0.0,,1.0,,,36.205465,-119.622676,0.0,70.2,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,17554.0,0.0,,0.0,3.0,0.0,,0.0,0.0,0.0,30.0,1424.6,0.0,396.64,0.0,2151.47,0.0,1.0,93513.0,0.0
75%,60.0,27.0,36.17,,,75.0,,5381.0,,,,,0.0,1.0,,1.0,,,38.196497,-117.991372,1.0,89.75,1.0,0.0,3.0,,1.0,1.0,1.0,1.0,,1.0,35737.0,1.0,,1.0,4.0,0.0,,1.0,1.0,1.0,56.0,3846.75,0.0,1200.0,0.0,4845.75,0.0,1.0,95337.0,1.0
max,80.0,85.0,49.99,,,96.0,,6500.0,,,,,1.0,1.0,,1.0,,,41.962127,-114.192901,1.0,118.75,1.0,8.0,11.0,,1.0,1.0,1.0,1.0,,1.0,105285.0,1.0,,1.0,5.0,1.0,,1.0,1.0,1.0,72.0,8672.45,150.0,3564.0,49.79,11979.34,1.0,1.0,96150.0,1.0
